language,filename,blank,comment,code
XML,.\Proyecto-sayonara-constru\nbproject\jfx-impl.xml,208,116,3725
XML,.\Proyecto-sayonara-constru\nbproject\build-impl.xml,3,126,1292
Java,.\Proyecto-sayonara-constru\src\proyectoconstru\VentanaCajero\InterfazcajeroController.java,60,140,362
Java,.\Proyecto-sayonara-constru\src\proyectoconstru\interfazAdministrador\VentanaAdministradorController.java,49,55,320
Java,.\Proyecto-sayonara-constru\src\proyectoconstru\interfazAdministrador\FormularioAgregarFacturaController.java,39,30,309
Java,.\Proyecto-sayonara-constru\src\proyectoconstru\VentanaLogin\VentanaLoginController.java,38,52,201
Java,.\Proyecto-sayonara-constru\src\proyectoconstru\interfazAdministrador\FormularioAgregarProveedorController.java,20,25,193
Java,.\Proyecto-sayonara-constru\src\proyectoconstru\interfazAdministrador\ListarProveedoresController.java,24,39,185
Java,.\Proyecto-sayonara-constru\src\proyectoconstru\conexion\ConsultaProducto.java,56,81,185
Java,.\Proyecto-sayonara-constru\src\proyectoconstru\interfazAdministrador\EditarProveedorController.java,21,32,185
Java,.\Proyecto-sayonara-constru\src\proyectoconstru\interfazAdministrador\EditarCajeroController.java,18,32,180
Java,.\Proyecto-sayonara-constru\src\proyectoconstru\interfazAdministrador\FormularioAgregarProductoController.java,19,25,176
Java,.\Proyecto-sayonara-constru\src\proyectoconstru\interfazAdministrador\EditarProductoController.java,19,32,171
Java,.\Proyecto-sayonara-constru\src\proyectoconstru\conexion\ConsultaProveedor.java,64,66,163
Java,.\Proyecto-sayonara-constru\src\proyectoconstru\interfazAdministrador\FormularioAgregarCajeroController.java,15,23,163
Java,.\Proyecto-sayonara-constru\src\proyectoconstru\conexion\ConsultaCajero.java,30,81,160
Java,.\Proyecto-sayonara-constru\src\proyectoconstru\interfazAdministrador\ListarProductosProveedorController.java,16,31,150
FXML,.\Proyecto-sayonara-constru\src\proyectoconstru\VentanaCajero\interfazcajero.fxml,2,0,150
FXML,.\Proyecto-sayonara-constru\src\proyectoconstru\interfazAdministrador\EditarProducto.fxml,2,0,140
Java,.\Proyecto-sayonara-constru\src\proyectoconstru\interfazAdministrador\ListarCajerosController.java,22,31,133
Java,.\Proyecto-sayonara-constru\src\modelodedatos\Proveedor.java,41,9,132
Java,.\Proyecto-sayonara-constru\src\proyectoconstru\interfazAdministrador\ListarProductosController.java,17,49,132
Java,.\Proyecto-sayonara-constru\src\proyectoconstru\conexion\ConsultaBoleta.java,10,62,131
Java,.\Proyecto-sayonara-constru\test\ValidacionCampoTest.java,25,9,131
Java,.\Proyecto-sayonara-constru\src\modelodedatos\Boleta.java,37,9,130
FXML,.\Proyecto-sayonara-constru\src\proyectoconstru\interfazAdministrador\EditarProveedor.fxml,2,0,125
Java,.\Proyecto-sayonara-constru\src\modelodedatos\DetalleReporteDeComprasProveedores.java,38,9,123
Java,.\Proyecto-sayonara-constru\src\modelodedatos\Producto.java,33,9,111
FXML,.\Proyecto-sayonara-constru\src\proyectoconstru\interfazAdministrador\EditarCajero.fxml,2,0,108
Java,.\Proyecto-sayonara-constru\src\modelodedatos\Factura.java,36,10,106
FXML,.\Proyecto-sayonara-constru\src\proyectoconstru\interfazAdministrador\FormularioAgregarFactura.fxml,3,0,100
Java,.\Proyecto-sayonara-constru\src\proyectoconstru\interfazAdministrador\CompraProveedoresController.java,13,14,97
Java,.\Proyecto-sayonara-constru\src\proyectoconstru\interfazAdministrador\ReporteCompraProveedoresController.java,14,23,96
Java,.\Proyecto-sayonara-constru\src\proyectoconstru\VentanaCajero\VentanaEdicionController.java,12,25,91
FXML,.\Proyecto-sayonara-constru\src\proyectoconstru\VentanaLogin\VentanaLogin.fxml,2,0,88
Java,.\Proyecto-sayonara-constru\src\modelodedatos\Usuario.java,30,9,83
Java,.\Proyecto-sayonara-constru\src\proyectoconstru\conexion\ConsultaFactura.java,8,35,83
Java,.\Proyecto-sayonara-constru\test\ProveedorTest.java,13,9,82
